Date,Open,High,Low,Close,Adj Close*,Volume
12/31/2008,13.32,14.3,13.32,14.3,14.3,"1,302,900"
12/30/2008,13.94,14.15,13.75,14.05,14.05,"2,123,600"
12/29/2008,14,14.08,13.51,13.73,13.73,"2,065,800"
12/26/2008,12.65,13.17,12.61,13.08,13.08,"656,400"
12/24/2008,12.57,12.99,12.44,12.83,12.83,"548,600"
12/23/2008,13.18,13.18,12.6,12.68,12.68,"1,971,300"
12/22/2008,12.33,12.43,11.95,12.12,12.12,"2,023,300"
12/19/2008,12.86,13.02,12.49,12.57,12.57,"2,587,500"
12/18/2008,13.78,13.84,12.96,13.08,13.08,"3,253,700"
12/17/2008,13.09,14.06,13.08,14.01,14.01,"3,377,000"
12/16/2008,12.19,13.75,12.14,13.57,13.57,"2,917,600"
12/15/2008,12.38,12.52,11.91,12.13,12.13,"1,998,300"
12/12/2008,12.11,12.63,12.06,12.46,12.46,"2,368,800"
12/11/2008,13.03,13.43,12.78,12.86,12.86,"1,950,600"
12/10/2008,13.16,13.43,13.05,13.43,13.43,"1,979,900"
12/9/2008,12.8,13.49,12.7,12.92,12.92,"4,342,400"
12/8/2008,12.6,13.87,12.44,13.63,13.63,"4,365,800"
12/5/2008,11.89,12.59,11.54,12.51,12.51,"2,200,600"
12/4/2008,12.07,12.5,11.6,11.79,11.79,"3,449,200"
12/3/2008,11.22,12.2,11.16,12.2,12.2,"4,302,000"
12/2/2008,10.94,12,10.93,11.8,11.8,"5,689,100"
12/1/2008,11.41,11.59,10.95,10.98,10.98,"3,282,700"
11/28/2008,11.97,12.93,11.85,12.74,12.74,"2,402,900"
11/26/2008,11.46,13.17,11.46,12.92,12.92,"3,988,200"
11/25/2008,12.9,12.9,11.66,12.22,12.22,"4,173,200"
11/24/2008,10.48,11.95,10.19,11.71,11.71,"5,808,700"
11/21/2008,9.7,9.79,8.66,9.45,9.45,"6,272,400"
11/20/2008,9.39,9.5,8.33,8.44,8.44,"7,386,100"
11/19/2008,10.66,10.79,9.22,9.28,9.28,"4,152,500"
11/18/2008,11.1,11.33,10.7,10.92,10.92,"2,877,500"
11/17/2008,11.73,12.14,11.41,11.7,11.7,"3,018,800"
11/14/2008,12.37,12.89,11.5,11.5,11.5,"9,824,100"
11/13/2008,12.82,13.65,12.15,13.63,13.63,"3,269,600"
11/12/2008,13.55,13.78,13.12,13.12,13.12,"3,577,800"
11/11/2008,13.76,14.03,13.5,13.77,13.77,"2,285,000"
11/10/2008,15.1,15.19,14.4,14.5,14.5,"965,000"
11/7/2008,14.81,15.06,14.64,14.99,14.99,"1,425,800"
11/6/2008,15.27,15.45,14.46,14.51,14.51,"2,110,500"
11/5/2008,16.65,16.95,15.88,15.92,15.92,"2,510,100"
11/4/2008,16.06,17.86,15.99,17.39,17.39,"3,224,100"
11/3/2008,16.13,16.7,15.84,16.18,16.18,"1,501,100"
10/31/2008,15.9,16.97,15.71,16.9,16.9,"2,981,500"
10/30/2008,16.19,16.28,15.22,15.9,15.9,"3,215,200"
10/29/2008,14.72,15.37,14.35,14.53,14.53,"5,226,100"
10/28/2008,13.3,14.19,12.8,14.08,14.08,"5,542,400"
10/27/2008,12.95,13.08,12.28,12.41,12.41,"7,922,200"
10/24/2008,13.16,13.5,13,13.02,13.02,"6,773,100"
10/23/2008,13.88,14.29,13.55,14.1,14.1,"12,303,400"
10/22/2008,15.05,15.11,14.12,14.12,14.12,"5,047,900"
10/21/2008,15.64,15.86,15.45,15.52,15.52,"10,550,000"
10/20/2008,15.55,16.15,15.5,16,16,"9,086,200"
10/17/2008,16.35,16.78,15.65,15.75,15.75,"7,318,300"
10/16/2008,18,18.15,16.54,17.33,17.33,"9,699,100"
10/15/2008,17.84,17.84,16.5,16.66,16.66,"4,334,700"
10/14/2008,18.88,19.25,18.07,18.79,18.79,"6,765,400"
10/13/2008,17.23,17.25,16.5,17.04,17.04,"12,482,100"
10/10/2008,15.58,16.14,14.21,15.3,15.3,"7,434,700"
10/9/2008,17.45,17.51,14.65,15.5,15.5,"5,208,700"
10/8/2008,16.74,17.6,15.5,16.5,16.5,"6,198,400"
10/7/2008,18.71,18.74,16.5,16.56,16.56,"6,786,600"
10/6/2008,18.96,19.07,17.9,18.55,18.55,"6,359,300"
10/3/2008,19.95,21.3,19.19,19.95,19.95,"7,562,000"
10/2/2008,19.28,20.49,18.82,20.1,20.1,"13,038,100"
10/1/2008,17.01,19.14,16.85,18.95,18.95,"4,113,900"
9/30/2008,16.62,17.8,16.33,17.54,17.54,"5,599,500"
9/29/2008,17.19,17.34,15.14,15.55,15.55,"8,954,000"
9/26/2008,18.75,21.25,18.66,20.1,20.1,"6,501,700"
9/25/2008,19.33,20.14,19.22,20.14,20.14,"3,469,500"
9/24/2008,18.66,18.73,18.04,18.5,18.5,"2,883,800"
9/23/2008,18.3,19.89,17.55,18.8,18.8,"4,246,600"
9/22/2008,20.05,20.11,18.8,19.25,19.25,"3,704,200"
9/19/2008,18.96,21.45,18.26,21.45,21.45,"14,969,300"
